total_output_power,pa1,pa2,pa3
695.12,225.45,227.08,225.56
696.17,225.09,226.46,224.94
697.29,225.6,226.55,225.19
697.03,225.82,226.84,224.98
694.74,224.38,226.25,225
694.04,224.63,226.65,224.75
694.13,224.18,226.38,224.8
693.1,224.23,226.07,225.03
694.41,224.58,225.75,225.46
695.41,224.73,227.39,225.03
694.75,224.56,226.92,225.07
694.08,225.1,226.1,224.8
695.26,224.69,226.72,225.05
697.23,225.19,227.5,226.37
695.33,223.54,226.99,225.51
694.69,225.23,226.77,225.57
694.7,224.31,226.7,225.25
695.86,225.53,226.79,225.9
695.18,224.6,226.61,225.7
695.45,224.44,226.53,225.33
694.94,224.55,226.57,225.04
695.68,225.35,226.89,225.52
694.7,224.46,226.88,225.52
695.93,224.84,227.1,225.84
697.28,225.28,227.31,225.73
695.64,224.49,226.66,225.05
696.3,225.37,226.99,225.34
695.9,224.94,226.99,225.65
694.7,224.95,226.77,225.29
695.04,224.38,226.36,225.42
695.61,225.39,226.87,226.04
694.43,224.91,226.59,225.84
695.83,224.46,227.44,225.63
694.89,226.18,227.3,226.07
696.01,224.79,227.26,226.7
694.97,224.57,227.2,225.76
693.77,225.1,226.88,225.03
695.03,223.86,227.2,226.57
695.51,224.84,227.09,226.02
694.53,224.57,226.62,225.27
692.4,224.28,226.23,224.48
696.46,225.04,226.61,226.69
694.68,224.7,226.97,225.2
693.58,225.69,226.34,224.6
693.72,225.22,226.48,225.02
694.99,224.55,226.9,224.87
694.51,225.44,226.54,224.52
694.74,225.42,227.15,225.44
693.75,224.07,227.1,225.08
692.88,224.71,226.93,224.63
693.7,224.55,226.56,225.45
695.68,225.08,226.88,225.11
695,224.18,227,225.12
695.06,224.07,227.05,225.46
695.56,224.73,227.23,224.99
694.82,224.9,227.26,224.53
693.83,224.5,227.04,225.24
696.55,224.64,226.16,226.95
693.72,225,226.96,224.61
695.03,225.13,226.99,224.91
695.03,224.72,227.63,224.29
693.82,224.43,226.27,224.72
694.32,223.61,226.25,225.34
693.51,223.92,226.68,225.36
685.56,216.79,220.34,220.96
694.43,224.73,226.85,224.99
694.63,225.05,226.33,225.57
694.04,224.47,224.91,226.87
692.87,224.7,225.68,225.18
691.29,224.66,225.19,224.48
692.72,225.48,225.87,225.02
693.26,224.34,226.28,224.69
694.59,224.51,226.63,225.52
698.88,224.97,225.92,226.28
696.02,224.97,226.77,224.32
695.36,224.36,226.44,224.56
697.5,225.71,227.34,225.82
696.38,225.46,226.37,224.92
695.8,225.21,225.82,224.02
696.14,225,226.29,224.58
695.49,224.51,227.31,225.01
694.41,224.41,226.99,225.12
694.39,224.6,226.99,224.59
696.68,224.74,227.07,225.65
696.68,225.22,227.26,225.66
695.54,224.97,226.84,224.92
696.49,223.99,227.03,225.32
696.2,223.28,227.25,225.92
697.47,224.01,227.88,226.37
696.01,224.01,227.08,226.16
697.55,225,227.41,226.16
697.36,225.09,227.14,226.05
696.17,224.73,226.59,225.8
697.24,225.24,226.87,226.41
696.26,225.27,226.5,226.16
697.09,225.95,227.06,226.76
696.11,223.49,227.7,227.17
696.92,223.88,227.4,226.99
697,225.18,227.3,225.75
696.24,225,227.64,226.56
697.81,225.27,227.47,226.57
694.74,224.56,227.08,226.04
698.09,224.9,227.41,226.89
696.48,224.39,227.19,225.56
695.05,224.39,227.08,225.65
697.98,225.68,227.92,226.97
697.34,225.21,227.68,227.29
694.12,223.99,226.34,226.09
696.58,225.24,226.4,226.3
693.67,224.93,226.25,225.27
694.4,225.31,226.83,224.88
696.29,226.33,227.28,225.79
694.44,224.2,227,226.27
695.03,225.61,226.56,225.03
696.81,226.05,227.13,225.99
697.25,226.44,226.74,226.05
695,225.27,226.88,225.75
693.25,224.62,226.48,224.68
695.2,224.99,226.95,225.16
695.63,224.9,227.53,225.96
695.99,224.78,227.31,227.18
697.28,225.01,226.88,226.59
698.39,224.86,227.21,226.3
695.02,224.55,227.36,225.56
695.69,224.12,227.59,226.46
696.76,224.04,227.62,226.66
697.89,224.31,227.53,226.82
696.37,224.18,227.42,226.37
698.64,225.58,227.94,226.48
695.02,224.5,227.08,225.9
695.23,224.4,226.97,225.22
695.15,223.82,227.52,226.51
694.69,225.53,226.03,225.87
697.14,226.62,227,227.2
696.56,225.3,226.04,225.95
697.6,225.63,227.42,226.46
695.99,224.95,227.6,226.46
696.51,224,227.33,227.79
694.91,224.36,226.88,226.15
696.33,225.85,227.42,226.55
696.1,224.92,227.55,226.71
694.99,225.5,227.62,226.54
695.97,225.32,227.29,226.08
695.96,224.36,227.62,227.06
697.86,225.97,227.55,226.82
696.05,224.51,227.19,225.42
696.82,224.42,227.42,225.82
696.68,225.35,227.06,226.97
695.69,225.03,226.06,226.5
695.66,224.82,226.98,226
693.72,225.02,225.54,226.21
691.61,224.74,224.8,224.29
695.1,225.52,226.5,225.86
695.46,224.62,226.84,227.62
697,223.93,227.7,227
697.08,224.96,227.33,226.54
698.99,224.63,227.69,226.96
697.9,225.43,227.49,227.17
698.23,225.05,227.21,226.6
698.08,225.05,227.41,227.09
697.39,225.25,227.05,227.33
695.29,224.66,227.35,225.95
694.48,225.1,227.53,224.74
694.79,224.95,227.52,225.87
694.49,225.46,227.31,225.14
696.01,224.72,227.41,227.21
692.86,224.19,227.32,224.72
692.84,224.52,226.71,225.37
692.49,224.29,225.12,224.77
693.41,224.63,225.7,224.8
694.19,225.64,225.64,224.88
691.54,224.87,225.34,224.4
694.08,225.33,225.3,225.01
694.73,224.71,225.53,224.3
694.18,224.31,225.35,224.91
694.66,224.07,226.18,224.92
693.91,224.16,226.53,224.71
694.48,225.29,225.69,224.74
