total_output_power,pa1,pa2,pa3
649.01,211.46,210.85,208.08
646.32,210.15,209.23,208.49
645.97,208.97,209.48,207.55
648.55,211.29,211.27,207.58
649.1,210.83,209.33,208.26
647.17,209.91,208.93,208.46
649.13,210.92,209.74,208.78
648.67,210.21,209.89,209.53
649.23,210.39,209.21,209.71
647.44,209.66,209.04,208.73
649.78,210.59,209.03,208.93
649.34,211.26,209.85,208.44
649.24,210.6,209.5,208.82
648.32,210.27,209.69,208.64
649.33,210.11,210.24,209.47
648.87,210.46,210.05,208.34
648.32,210.38,209.1,208.7
647.42,210.18,209.9,209.3
647.71,210.06,209.7,209.5
648.53,210.31,209.97,209.67
647.21,209.18,209.51,208.93
648.03,209.7,209.22,209.56
649.36,210.48,210.28,210.18
648,210.38,210.54,209.21
648.24,210.39,210.44,209.3
647.71,210.97,210.69,207.88
648.95,210.7,210.76,208.74
648.94,209.62,210.92,208.58
648.02,208.93,211.02,208.69
648.02,209.88,211.32,209.54
649.69,209.29,211.44,208.82
648.19,209.21,211.22,208.93
648.88,209.97,211.46,209.18
647.14,210.28,210.47,209.98
647.72,210.18,210.67,209.79
645.46,210.48,210.57,207.85
647.43,210.55,210.77,207.37
646.17,210.07,210.86,207.1
647.14,210.12,210.32,207.01
646.84,210.72,210.55,207.49
648.16,210.87,211.62,208.17
648.57,210.44,211.08,207.71
648.06,210.68,211.04,207.77
648.67,211.06,211.65,207.79
647.15,210.48,211.17,207.59
647.98,210.99,211.13,207.39
647.65,209.96,210.77,207.27
648.26,210.48,210.59,207.61
647.57,210.28,210.8,207.43
649.02,210.78,210.93,207.38
649.17,210.49,211.17,207.87
648.63,211.06,210.95,207.48
648.36,210.78,210.96,208.08
647.14,210.33,210.47,206.95
647.45,210.42,210.37,207.25
648.69,210.68,211.21,207.74
646.83,210.4,211.01,208.24
647.06,210.3,210.86,207.32
647.95,210.65,210.98,207.66
648.58,210.56,211.15,207.3
646.24,210.17,210.47,207.39
647.45,211.26,211.84,207.99
647.67,210.8,210.49,207.49
648.01,210.84,211.12,207.98
647.42,210.72,210.91,207.39
647.42,209.8,210.76,207.1
648.63,210.94,210.88,208
647.66,209.98,210.97,207.87
646.56,209.69,211.34,208.07
645.66,209.62,211.15,207.87
647.03,209.74,211.35,207.97
645.7,208.99,210.5,206.95
647.3,209.07,210.92,207.57
647.11,209.32,211.65,208.12
645.94,209.13,211.25,207.95
645.75,208.94,210.61,207.41
646.88,210.81,210.29,208.08
647.15,210.37,210.66,207.69
648.06,210.63,210.95,207.69
645.21,209.25,211.38,207.75
645.72,208.98,211.12,207.62
645.48,209.74,210.61,207.03
645.85,210.73,210.87,207.58
647.05,210.24,210.47,207.4
646.82,210.93,210.87,207.2
644.45,210.27,210.36,206.72
645.29,209.92,210.2,206.91
648.05,210.44,210.63,209.5
647.45,209.31,209.44,209.36
647.29,210.06,209.96,208.36
648.64,209.28,211.92,209.4
647.94,209.41,211.57,209.25
647.5,210.03,210.74,209.17
647.99,209.9,210.36,210.07
646.85,209.61,210.09,209.35
645.7,209.46,209.35,209.3
646.57,209.26,209.85,209.33
646.57,209.62,209.89,209.43
646.88,209.31,210.62,209.02
646.06,209.11,209.33,208.73
646.17,209.12,209.83,208.93
647.2,209.41,211.33,208.34
648.04,209.42,211.93,209.12
648.33,209.41,211.36,208.74
647.18,209.73,211.57,209.62
648.36,209.13,211.26,209.13
646.97,210.02,210.07,209.13
646.73,210.07,210.29,209.81
646.91,209.51,210.23,208.56
647.04,210.04,209.92,209.36
647.75,209.87,209.75,209.7
646.84,209.71,210.28,209.51
646.26,209.78,210.16,208.91
646.46,209.86,209.37,208.79
646.37,209.55,210.61,208.56
646.09,208.01,211.13,208.09
646.14,209.11,210.73,208.34
647.1,209.63,211.21,208.44
647.33,210.41,210.72,207.8
647.49,210.67,209.92,208.07
648.32,210.57,210.96,208.27
648.92,211.26,210.67,207.98
647.45,210.09,209.91,207.49
649.24,210.87,210.52,208.57
647.85,210.83,210.47,207.69
648.64,211.06,210.5,207.79
649.42,206.95,210.72,207.69
648.87,210.6,210.42,207.71
648.12,211.41,210.8,207.87
648.91,210.67,210.66,208.26
647.8,209.1,210.3,208.36
646.79,210.56,210.49,208
647.83,209.29,210.97,208.63
647.98,210.2,211.95,209.53
649.4,209.78,211.52,209.89
647.95,209.73,210.52,209.79
647.8,209.2,209.87,209.5
647.4,209.62,209.81,209.59
646.85,209.91,210.3,209.42
647.49,209.6,210.52,209.22
649.09,209.51,210.36,209.91
648.71,210.42,210.39,210
648.64,209.69,209.7,209.39
646.67,209.71,209.6,208.8
646.63,209.56,210.15,209.06
647.1,209.95,209.84,209.67
646.81,209.71,210.5,208.94
646.25,209.8,209.89,209.11
646.29,209.73,210.53,208.77
646.64,209.6,209.82,208.51
646.66,209.05,210.96,209.06
647.89,208.98,210.87,208.61
648.06,209.41,210.96,208.74
649.34,209.37,211.46,209.52
647.92,210.14,211.52,209.17
648.02,209.61,211.09,208.9
648.64,209.8,210.78,208.81
648.68,209.46,210.97,208.94
647.06,209.46,211.23,208.44
647.53,209.43,210.77,208.83
646.99,209.15,210.59,208.54
646.08,209.22,210.9,208.41
648.29,209.94,210.68,209.65
646.27,209.12,209.28,208.91
645.35,209.61,209.52,208.95
647.45,209.48,211.54,209.5
646.91,209.63,210.78,209.35
